ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
351,simple,,"Blusa anudada",1,0,visible,,"<h4 style=""text-align: center;"">Blusa anudada</h4>\n<p style=""text-align: center;"">Blusa con corte recto, cuello en V, manga larga con puños abotonados y bajo asimétrico para anudar ó cruzar hacia espalda. Cierre mediante botonadura frontal. Botones en cristal Swarovski.</p>\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,298319,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2017/04/blusa-anudada.jpg,,,,,,,,,0,color,"Blanco, Palo de rosa",1,1,Materiales,"100% Poliéster / Polyester",1,0,"Rango de Medidas","Talla S: Busto 92 / Cintura 84
Talla M: Busto 96 / Cintura 88
Talla L: Busto 100 / Cintura 92",1,0
5890,simple,,"Falda Midi en Jacquard",1,0,visible,,"<h4 style=""text-align: center;"">Falda Midi en Jacquard</h4>\n<p style=""text-align: center;"">Falda midi en Jacquard. Talle alto. Ruedo asimétrico con volante. Cierre mediante cremallera semi-invisible en costado.</p>\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,285294,407563,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/falda-midi-en-jacquard.jpg,,,,,,,,,0,color,"Rosa, Taupe",1,1,Materiales,"87% Poliéster / Polyester - 13% Lurex",1,0,"Rango de Medidas","Talla S: Cintura 68 cm / Largo frente 77 cm
Talla M: Cintura 72 cm / Largo frente 77 cm
Talla L: Cintura 76 cm/ Largo frente 77 cm
Talla XL: Cintura 80 cm/ Largo frente 77 cm",1,0
5893,simple,,"Blusa Off-Shoulder",1,0,visible,,"<h4 style=""text-align: center;"">Blusa Off-Shoulder</h4>\n<p style=""text-align: center;"">Blusa de hombros descubiertos. Corte recto, escote redondo con pliegues y aro metálico. Cierre de botones en la espalda. Manga larga con detalle de volantes.</p>",,,taxable,,1,,,0,0,,,,,1,,,293277,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/blusa-off-shoulder-1.jpg,,,,,,,,,0,color,Blanco,1,1,Materiales,"100% Poliéster / Polyester",1,0,"Rango de Medidas","Talla S: Busto 90 cm/ Cintura 84 cm
Talla XL: Busto 104 cm / Cintura 98 cm",1,0
5894,simple,,"Pantalón anudado con pliegues",1,0,visible,,"<h4 style=""text-align: center;"">Pantalón anudado con pliegues</h4>\n<p style=""text-align: center;"">Pantalón de cintura alta y botas anchas. Plisado en la cintura y detalle atado. Cremallera semi-invisible en costado.</p>",,,taxable,,1,,,0,0,,,,,1,,,234454,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/pantalon-anudado-con-pliegues.jpg,,,,,,,,,0,color,"Camel, Palo de rosa",1,1,Materiales,"92% Poliéster / Polyester - 08% Elastómero / Elastomer",1,0,"Rango de Medidas","Talla 8: Cintura 80cm
Talla 10: Cintura 84cm
Talla 12: Cintura 88cm
Talla 14: Cintura 92cm
Talla 16: Cintura 98cm",1,0
5896,simple,,"Vestido cruzado",1,0,visible,,"<h4 style=""text-align: center;"">Vestido cruzado</h4>\n<p style=""text-align: center;"">Vestido estampado manga larga. Corte recto. Escote cruzado en V. Frente con detalle de pliegues. Cierre mediante lazada en cintura. Forro interior.</p>",,,taxable,,1,,,0,0,,,,,1,,,436975,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/vestido-cruzado.jpg,,,,,,,,,0,color,Estampado,1,1,Materiales,"Tejido principal / Main fabric : 100% Poliéster / Polyester . Forro / Lining: 100% Poliéster / Polyester",1,0,"Rango de Medidas","Talla S: Busto 92 / Cintura 84
Talla M: Busto 96 / Cintura 88
Talla L: Busto 100 / Cintura 92
Talla XL: Busto 106 / Cintura 98",1,0
5898,simple,,"Body manga larga Bordado",1,0,visible,,"<h4 style=""text-align: center;"">Body manga larga Bordado</h4>\n<p style=""text-align: center;"">Body-Blusa de corte recto, cuello de solapa con muesca y botones de perlas en la parte delantera. Mangas largas de globo con bordado a juego. Puños con doble detalle de volantes.</p>",,,taxable,,1,,,0,0,,,,,1,,234118,334454,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/body-manga-larga-bordada.jpg,,,,,,,,,0,color,Marfíl,1,1,Materiales,"Organza bordada y Algodón : Top: 100% Algodón / Cotton - Mangas: 100% Nylon - Panty: 78% Poliamida / Polyamide - 22% Elastano / Elastane",1,0,"Rango de Medidas","Talla S: Busto 92 / Cintura 84
Talla M: Busto 96 / Cintura 88
Talla L: Busto 100 / Cintura 92",1,0
5900,simple,,"Blusa anudada en Seda",1,0,visible,,"<h4 style=""text-align: center;"">Blusa anudada en Seda</h4>\n<p style=""text-align: center;"">Blusa con corte recto, cuello en V, manga larga con puños abotonados y bajo asimétrico para anudar. Cierre mediante botonadura frontal. Incluye top interno.</p>",,,taxable,,1,,,0,0,,,,,1,,,390756,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2017/04/blusa-anudada-en-seda.jpg,,,,,,,,,0,color,"Azul Grisáceo, Gris, Rosa Oscuro",1,1,Materiales,"Seda \, Blusa: 100% Seda Natural / Básica Interna: 84% Poliamida/Polyamide - 16% Elastano/Elastane",1,0,"Rango de Medidas","Talla S: Busto 90 / Cintura 80
Talla M: Busto 94 / Cintura 84
Talla L: Busto 98 / Cintura 88
Talla XL: Busto 102 / Cintura 92",1,0
5902,simple,,"Pantalón recto en Jacquard",1,0,visible,,"<h4 style=""text-align: center;"">Pantalón recto en Jacquard</h4>\n<p style=""text-align: center;"">Pantalón en Jacquard, de corte recto y talle alto. Aberturas leves en ruedo. Cierre mediante cremallera semi-invisible en costado.</p>",,,taxable,,1,,,0,0,,,,,1,,,293277,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/pantalon-recto-en-jacquard.jpg,,,,,,,,,0,color,"Rosa, Uva",1,1,Materiales,"Jacquard 54% Algodón / Cotton - 43% Poliéster / Poliester - 03% Elastómero / Elastomer",1,0,"Rango de Medidas","Talla 6: Cintura 66 / Cadera 91 / Largo 93
Talla 8: Cintura 70 / Cadera 95 / Largo 93
Talla 10: Cintura 74 / Cadera 99 / Largo 94
Talla 12: Cintura 78 / Cadera 103 / Largo 95
Talla 14: Cintura 82 / Cadera 107 / Largo 96
Talla 16: Cintura 87 / Cadera 112 / Largo 97",1,0
5904,simple,,"Blusa Elegance",1,0,visible,,"<h4 style=""text-align: center;"">Blusa Elegance</h4>\n<p style=""text-align: center;"">Blusa de corte recto, cuello Kent puntiagudo, cierre con botones en la parte delantera. Manga larga con puños de globo. Todos los botones en cristal Swarovski.</p>",,,taxable,,1,,,0,0,,,,,1,,,00,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/white.png,,,,,,,,,0,color,"Blanco, Rosa",1,1,Materiales,"Tej. Principal: 95% Poliéster/Polyester - 05% Polyuretano Forro: 100% Poliéster",1,0,"Rango de Medidas","Talla S: Busto 90 / Cintura 84
Talla M: Busto 94 / Cintura 88
Talla L: Busto 98 / Cintura 92
Talla XL: Busto 104 / Cintura 98
Talla XXL: Busto 110 / Cintura 104",1,0
5905,simple,,"Falda con Nesgas en Denim",1,0,visible,,"<h4 style=""text-align: center;"">Falda con Nesgas en Denim</h4>\n<p style=""text-align: center;"">Falda acampanada de talle alto en Denim. Detalle de nesgas. Cierre mediante cremallera semi-invisible en costado. Incluye cinturón.</p>",,,taxable,,1,,,0,0,,,,,1,,,340336,Tékapo,,,http://localhost/enyendira/wp-content/uploads/2020/11/falda-en-denim.jpg,,,,,,,,,0,color,"Azul Oscuro",1,1,Materiales,"Denim 88% Algodón / Cotton - 10% Poliéster / Polyester - 02%Spandex",1,0,"Rango de Medidas","Talla S: Busto 90 / Cintura 80
Talla M: Busto 94 / Cintura 84
Talla L: Busto 98 / Cintura 88
Talla XL: Busto 104 / Cintura 94",1,0
